text,label
b老年人短暂性大脑缺血性发作咋样办,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
皮肤干而发红4!什么事化验,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O O
顶叶肿瘤膳食q哦什么事,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O O
信息什么溴氯菊酯中毒,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
什么物光泽苔藓理解,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
q虚脱咋样j办,O B-SYMPTOM I-SYMPTOM O O O O
那差l眼球浮动现象,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
什么事治好多中心性网状组织细胞增生症,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
有何降低痴呆综合征,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
混合痣帮助怎么f啊办,B-DISEASE I-DISEASE I-DISEASE O O O O O O O
n操作何事避免突肤挺胸噢,O O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O
哪Pick病和额颞痴呆了解,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
患染什么物病患妊娠毒血症,O O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
h对乙酰氨基酚中毒f指南哪,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
f何注意老年人垂体瘤,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
先天性胫骨缺如怎样止痊,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
珠蛋白生成障碍性贫血何以减轻,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
什么改善溃疡外观呈火山口样,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
何物减轻头皮平直裂口,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
有何做慢性溃疡性结肠炎,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
怎么样治疗胸腔疼痛,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
小儿侏儒-视网膜萎缩-耳聋综合征有何办,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
咋地解决结节病性心肌病,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
g感应风寒湿痹何以故,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
帮助a怎样；做肩胛颈及肩胛盂骨折,O O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
甚表示皮下脂质肉芽肿病,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
盖氏骨折咋地操作,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
怎么操作全身弥漫性潮红r,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O
怎么样治愈毛发红糠疹,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
地方性克汀病什么物注意,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
吃什么事外阴软纤维瘤,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
思维松弛如何办,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
什么u；提醒炎性乳腺癌,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
什么医治肾盏结石,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
什么物v是婴幼儿阴道炎8,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
z何物f监测松果体区占位病变,O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
告知椎弓结核哪些,O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
查询哪耀光感,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM
腮腺混合瘤咋样止痊,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
何以感受vr消化性溃疡,O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
血证g什么事治疗q,B-DISEASE I-DISEASE O O O O O O O
怎样治愈胃食管反流病,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
怎么治疗u鞍鼻,O O O O O B-SYMPTOM I-SYMPTOM
；w何物降低折刀现象,O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
何好处老年急性阑尾炎,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
什么物i小儿色素沉着息肉综合征告知b,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
头皮下血肿t咋地做d,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
急性阑尾炎何以缓解,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
哈哪康复放射性肾炎3,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
咋样治好软骨发育不全vg,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
咋样减轻电生理异常,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
下焦湿热介绍什么,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
什么事糟糕晕车,O O O O O B-SYMPTOM I-SYMPTOM
0青少年脊柱侧凸怎样i测,O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
哪些止痊小儿先天性斜颈,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
0何以操作小儿家族性非溶血性黄疸综合征,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
何抵御指甲-骨四联征,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
有何办髌骨缺失或发育不良~v,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
l皮炎芽生菌菜谱甚,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
8局限性肾坏死何以治好,O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
怎样办妊娠期间甲亢,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
~何以v医治泥螺-日光性皮炎,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
脑室内出血什么g提示,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
脊椎结核后突畸形有何治癒,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
怎么解决呀垂体功能减退,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
为何u知觉脊髓内胶质增生,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
股骨头骨骺骨软骨病何事忠告,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
p咽痛何事b治好,O B-SYMPTOM I-SYMPTOM O O O O O
k，膝关节积液甚医治,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
妊娠合并糖尿病何事操作,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
类风湿性关节炎肾损害何做,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
~小儿烹调综合征提醒怎么操作s,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O O
、何以8做红细胞畸形,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
软腭有疤痕怎么免于,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
预防饭后心跳加快k有何,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
咋样监测唇圆或椭圆形红斑,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
甚推荐w多形性脂肪瘤,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
产后泌尿道感染忠告何物,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
脓毒性血栓怎样检,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
注意咋地g办康诺尔立克次体斑疹热,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
吃嗯s什么事心率不齐,O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
跖骨骨折恶劣哪些,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
服何物双眼难以忍受的奇痒,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
忠告怎么o办致心律失常性右室心肌病,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
解释mg热痹,O O O O B-DISEASE I-DISEASE
遗传性蛋白C缺陷症嗯在于有何2,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
什么事测鼻子颜色苍白,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
咋样处理~Creutzfeldt-Jakob病嘿,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
家族性结肠息肉推荐有何,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
耳廓腹侧面局限性囊肿饮食什么,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
怎么化验5容易发生青肿z,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O
咋样减轻i增殖腺肥大c,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O
头虱建议何,B-DISEASE I-DISEASE O O O
妊娠合并红细胞增多症怎样减轻m,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
抵制产道扁平型狭窄。哪些0,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
移动性浊音哪办,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
颏下皮样囊肿注意怎么样办,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
周期性动眼神经麻痹弊处哪些,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
颈根部斜方肌及风池穴处有压痛点什么物查,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
详情瘢痕性睑内翻y有何,O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
那增强眼肌麻痹性偏头痛,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
肘关节强直怎么办,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
i骨髓损害检测什么事,O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
咋样做耳神经痛,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE
纤维性骨炎宜于什么k,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
老年人急性肾功能衰竭哈属于哪些,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
性交疼痛提升有何xl,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
哦h心前区隆起吃什么,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
急性颌骨骨髓炎推荐何物,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
得嗯什么3传染病痴呆,O O O O O O O O B-SYMPTOM I-SYMPTOM
小儿感染性心内膜炎食物哪,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
怎么t操作食管穿透性损伤,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
何物治好断肢再植,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE
信息无排卵型功能失调性子宫出血r,O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
食用8何继发性便秘,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
为何体验强直性脊柱炎,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
了解i有何黏多糖贮积症Ⅰ型,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
有何办xp肾功能不全,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
小儿先天性肾上腺皮质增生症z糟糕那,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
黄斑变性归属于那,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
何物是!!早产儿,O O O O O B-DISEASE I-DISEASE I-DISEASE
什么宜于肝豆状核变性伴发的精神障碍,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
胸腺高度萎缩何解决,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
怎么嘿治好放射性周围神经病,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
皮肤油腻什么物治好,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
解释p颈动脉创伤性栓塞u,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
椎体严重楔形变并伴小关节半脱位怎么唔j止痊,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
怎样处理迎风流泪,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
情绪性胃痛好处何事,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
皮疹怎么体检,B-SYMPTOM I-SYMPTOM O O O O
毛细血管扩张性环状紫癜gz怎么做,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
白晕怎么医治,B-SYMPTOM I-SYMPTOM O O O O
1处理什么物避免q婴儿褐色或暗绿色的粘液便,O O O O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
甲状舌管囊肿与鳃裂囊肿咋地治愈,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
检测什么肾钙化,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM
咋样办葡萄球菌食物中毒,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
何事嘿指南胆囊-结肠肝曲粘连综合征x,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
意识到脸色发黄3哈为啥,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
青光眼斑r喝什么物,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
测哪x投掷动作(颤搐),O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
咋样治好结肠黑变哈,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O
咋地防范d角栓,O O O O O B-SYMPTOM I-SYMPTOM
甚在于Goodpasture综合征,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
什么4防止水潴留,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM
视力障碍咋地；减轻x,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O
7鞘膜积水什么事、办,O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
怎么康复结核性脑膜炎ix,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
~迷路震荡g不益有何,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
卫氏并殖吸虫病咋地做,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
哈抵御妊娠时皮肤皱褶处小脓疱办哪些,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O
心脑血管疾病理解p哪些,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
28小儿尿路梗阻详情,O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
验证嘿q什么右上腹持续性剧痛并向右肩部放射,O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
j甚办腰背酸痛,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
酸烧伤hf服用什么,B-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O
p骶骨囊肿怎么止痊,O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O
咋样办牢脉,O O O B-SYMPTOM I-SYMPTOM
e提醒甚食管壁内憩室；,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
甲癣何事z办,B-DISEASE I-DISEASE O O O O
免于喃喃重复自语5哪,O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
何物检测p龟头珍珠疹,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
上唇肥厚f服用哪些k,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O
儿童白斑恶劣、c什么事,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O O
胃肠湿热如何解决,B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
甲周炎什么!做2,B-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
咋地解决膝后肿胀疼痛，活动受限,O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
角弓反张q怎样防止,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
哪些提示链球菌性咽炎,O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
先天性食管闭锁指南何事,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
胃肠粘膜的通透性增高补品h什么,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
咯血弊有何,B-DISEASE I-DISEASE O O O
喉咙冒黏液查哪,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
那提醒增生性疤痕6,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
乳头状囊腺瘤何物处理,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O
化验g甚流涎,O O O O B-SYMPTOM I-SYMPTOM
5什么治好透明丝孢霉病,O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
7肝胆湿热差那,O B-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
吃有何窝状角质松解症,O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
何故出现；肝弥漫性病变,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
y了解什么物妊娠合并再生障碍性贫血p,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O
多囊卵巢综合征帮助9何物u,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O O
咋地测牙齿黑斑~i,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O
怎样免于噢x耳廓红肿,O O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
颅内占位性病变怎样j抵制,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O
原发性直立性低血压9v甚缓解,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
易哭咋样6治好嘿,B-SYMPTOM I-SYMPTOM O O O O O O
t介绍i哪些森林脑炎,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE
宫颈闭锁有何验证~q,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O
介绍深海恐惧症什么,O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O
推荐怎么做w维生素A摄入过多,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE
进行性肌麻痹a弊p什么事,B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM O O O O O O
验证什么事局部肢体抽动,O O O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
眼眶平滑肌瘤恶劣何,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
何物做肝内形成嗜酸性肉芽肿,O O O B-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM I-SYMPTOM
什么物k治疗湿热蕴脾,O O O O O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE
第三脑室肿瘤不益何；x,B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O O O
何物急性虹膜睫状体炎y详情,O O B-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE I-DISEASE O O O
